Overall_Pincode,Ranking2
110001,9
110002,10
110003,5
110004,12
110005,10
110006,12
110007,9
110008,8
110009,7
110010,4
110011,6
110012,7
110013,9
110014,6
110015,8
110016,4
110017,4
110018,9
110019,5
110020,7
110021,4
110022,4
110023,5
110024,5
110025,6
110026,5
110027,7
110028,7
110029,4
110030,6
110031,12
110032,10
110033,10
110034,6
110035,10
110036,10
110037,7
110038,5
110039,8
110040,8
110041,12
110042,11
110043,6
110044,8
110045,7
110046,8
110047,6
110048,3
110049,4
110050,12
110051,9
110052,6
110053,12
110054,6
110055,10
110056,7
110057,3
110058,4
110059,9
110060,3
110061,8
110062,7
110063,5
110064,4
110065,4
110066,4
110067,3
110068,4
110069,7
110070,1
110071,5
110072,5
110073,3
110074,3
110075,2
110076,2
110077,1
110078,1
110079,11
110080,12
110081,10
110082,8
110083,12
110084,6
110085,7
110086,8
110087,3
110088,4
110089,1
110090,11
110091,5
110092,5
110093,10
110094,12
110095,6
110096,4
110097,10
110098,11
110099,4
110102,2
110105,1
110106,1
110125,1
110607,1
111002,12
111111,4
111402,12
111656,1
113001,1
114001,12
120001,4
120002,2
120003,3
120004,12
120010,12
120012,3
120015,1
120016,10
120017,1
120022,12
120201,1
120301,12
121001,8
121002,4
121003,3
121004,5
121005,6
121006,2
121007,3
121008,1
121009,2
121010,1
121012,1
121015,11
121022,12
121101,2
121102,7
121103,12
121104,12
121105,12
121106,12
121107,1
121201,1
121301,5
121305,12
122001,3
122002,1
122003,1
122004,6
122005,2
122006,2
122007,1
122008,2
122009,1
122010,1
122011,1
122012,7
122013,1
122014,1
122015,1
122016,2
122017,1
122018,1
122019,1
122020,8
122021,3
122022,1
122050,3
122051,3
122100,2
122101,3
122102,4
122103,10
122104,12
122105,9
122106,4
122107,4
122108,8
122109,5
122121,9
122201,2
122301,12
122413,1
122414,1
122501,1
122502,12
122503,4
122504,12
122505,3
122506,5
122508,5
122701,12
122901,1
123001,11
123002,6
123003,1
123004,1
123020,6
123021,10
123023,11
123024,5
123026,9
123027,11
123028,9
123029,11
123033,1
123034,12
123035,10
123051,2
123101,10
123102,12
123103,12
123104,1
123105,10
123106,5
123110,1
123112,1
123123,1
123200,11
123201,5
123213,1
123301,1
123302,1
123303,12
123305,1
123306,1
123308,9
123401,3
123402,1
123404,12
123405,3
123406,1
123408,NA
123411,11
123412,3
123413,1
123414,2
123456,1
123501,9
123502,4
123503,3
123504,10
123505,4
123506,7
123601,1
123707,1
124001,3
124002,7
124003,4
124004,3
124005,5
124006,1
124007,4
124021,1
124022,10
124023,1
124027,3
124050,1
124100,1
124101,3
124102,4
124103,6
124104,1
124105,1
124106,8
124107,7
124108,12
124109,12
124111,6
124112,6
124113,12
124116,12
124122,5
124123,NA
124125,1
124128,12
124129,10
124142,11
124145,1
124146,12
124201,12
124202,2
124203,1
124301,2
124303,1
124312,12
124401,12
124404,7
124406,9
124411,8
124412,1
124413,7
124416,1
124419,12
124426,NA
124429,12
124501,10
124502,1
124503,1
124504,1
124505,1
124506,1
124507,2
124510,1
124512,9
124513,1
124514,10
124517,1
124519,3
124520,1
124521,1
124524,3
124527,1
124529,1
124533,12
124534,12
124535,9
125001,3
125002,5
125003,3
125004,3
125005,3
125006,1
125007,7
125010,1
125011,3
125021,1
125022,9
125023,12
125025,12
125027,1
125031,NA
125032,12
125033,7
125035,3
125037,7
125038,12
125039,4
125040,1
125041,4
125042,7
125043,4
125044,11
125045,1
125046,2
125047,12
125048,1
125049,9
125050,6
125051,10
125052,12
125053,12
125054,12
125055,8
125056,3
125057,12
125058,12
125060,12
125063,1
125070,1
125074,12
125075,2
125076,4
125077,12
125078,12
125100,1
125101,3
125102,9
125103,8
125104,8
125105,1
125106,1
125107,8
125110,5
125111,12
125112,12
125113,11
125116,12
125120,6
125121,12
125122,8
125126,1
125133,2
125201,11
125202,NA
125203,1
125204,NA
125207,12
125211,12
126001,12
126002,7
126009,12
126027,1
126044,1
126081,12
126101,12
126102,10
126103,12
126104,9
126106,12
126110,4
126111,1
126112,9
126113,12
126114,12
126115,12
126116,10
126117,12
126118,12
126119,12
126120,10
126125,12
126152,10
126153,12
126173,12
126201,5
127001,4
127021,8
127022,1
127024,1
127025,4
127026,1
127027,12
127028,10
127029,6
127030,6
127031,1
127032,11
127035,11
127040,2
127041,2
127042,1
127043,2
127044,1
127045,2
127046,2
127047,1
127050,1
127051,1
127071,1
127101,12
127114,5
127120,12
127201,11
127221,12
127301,4
127303,9
127306,12
127307,1
127308,10
127309,7
127310,1
129001,1
130001,9
131001,4
131002,6
131003,3
131011,12
131021,1
131022,12
131023,9
131024,12
131025,12
131026,1
131027,4
131028,1
131029,2
131039,1
131101,11
131102,10
131103,12
131115,6
131204,4
131301,9
131302,8
131304,9
131305,9
131306,12
131402,9
131406,10
131407,9
131408,10
131409,12
132001,6
132002,12
132003,12
132004,4
132017,8
132020,12
132021,12
132022,10
132023,1
132024,9
132025,11
132026,1
132027,5
132034,9
132036,10
132037,12
132039,12
132040,12
132041,11
132045,7
132046,12
132050,12
132052,12
132054,6
132101,10
132102,8
132103,5
132104,3
132105,3
132106,1
132107,7
132108,12
132109,1
132111,12
132113,3
132114,11
132116,5
132117,4
132118,12
132119,7
132123,9
132128,1
132129,6
132132,10
132133,12
132135,12
132136,1
132140,1
132141,NA
132145,6
132146,1
132147,1
132156,12
132157,12
132201,2
132204,10
132301,12
132305,10
133001,6
133002,12
133003,2
133004,4
133005,2
133006,1
133009,1
133021,1
133101,3
133102,6
133103,10
133104,4
133105,8
133201,6
133202,6
133203,2
133204,5
133205,12
133206,7
133207,12
133301,12
133302,11
133307,12
133336,12
134001,10
134002,5
134003,5
134004,10
134005,4
134006,3
134007,5
134009,9
134010,2
134011,10
134012,12
134019,12
134022,1
134100,1
134101,10
134102,7
134103,2
134104,8
134105,2
134106,3
134107,3
134108,8
134109,5
134110,2
134111,1
134112,3
134113,1
134114,2
134115,1
134116,1
134117,3
134118,1
134119,1
134120,3
134132,1
134133,7
134201,1
134202,1
134203,4
134204,2
134205,11
134209,1
135001,6
135002,10
135003,10
135004,6
135021,12
135101,10
135102,11
135103,4
135104,5
135105,4
135106,1
135133,9
135136,8
135201,12
135203,7
135233,6
136001,3
136018,2
136020,5
136021,8
136024,11
136026,10
136027,8
136028,9
136030,11
136033,12
136034,12
136035,9
136038,7
136041,1
136042,12
136043,12
136044,12
136047,12
136101,12
136112,12
136116,9
136117,11
136118,5
136119,8
136120,12
136127,12
136128,8
136129,8
136130,12
136131,9
136132,6
136134,12
136135,10
136136,7
136156,4
136201,1
140001,7
140002,12
140003,12
140004,1
140007,6
140009,12
140010,12
140011,1
140012,1
140014,12
140017,3
140021,12
140022,12
140043,8
140055,8
140101,3
140102,5
140103,3
140104,3
140105,1
140106,10
140107,2
140108,12
140109,1
140110,4
140111,1
140112,1
140113,3
140114,2
140115,1
140116,6
140117,1
140118,3
140119,6
140123,1
140124,6
140125,3
140126,3
140133,1
140141,3
140144,1
140183,12
140201,4
140202,1
140210,12
140301,6
140302,3
140306,1
140307,1
140308,2
140309,2
140401,6
140402,1
140403,11
140405,1
140406,2
140407,1
140412,5
140413,8
140415,1
140416,12
140417,1
140501,9
140502,12
140506,3
140507,5
140508,10
140512,7
140601,10
140602,1
140603,2
140604,1
140605,3
140701,10
140702,2
140801,12
140901,5
141001,12
141002,9
141003,11
141004,9
141005,12
141006,12
141007,12
141008,10
141009,11
141010,7
