Pincodes,location_risk_weight,location_band,District/City, GEO_Portfolio_PL_Index 
110001,7,6,Delhi,0.917285717
110002,6,4,Delhi,0.81335371
110003,6,4,Delhi,0.73058205
110004,5,3,Delhi,0.406975934
110005,10,8,Delhi,1.271815566
110006,8,7,Delhi,1.152984675
110007,8,7,Delhi,1.016076584
110008,6,4,Delhi,0.80531056
110009,7,6,Delhi,0.931995703
110010,5,3,Delhi,0.474959602
110011,6,4,Delhi,0.579557716
110012,8,7,Delhi,1.005481564
110013,10,8,Delhi,1.333049678
110014,10,8,Delhi,1.389393327
110015,10,8,Delhi,1.314705052
110016,8,7,Delhi,1.164562326
110017,8,7,Delhi,1.031740712
110018,8,7,Delhi,1.080599045
110019,7,6,Delhi,0.954825167
110020,10,8,Delhi,1.297540116
110021,6,4,Delhi,0.751827843
110022,7,6,Delhi,0.927792817
110023,7,6,Delhi,0.892350382
110024,7,6,Delhi,0.850589822
110025,10,8,Delhi,1.319498731
110026,6,4,Delhi,0.833294127
110027,7,6,Delhi,0.860382464
110028,8,7,Delhi,1.044231084
110029,10,8,Delhi,1.334474188
110030,7,6,Delhi,0.92813718
110031,8,7,Delhi,1.163463926
110032,7,6,Delhi,0.907306867
110033,10,8,Delhi,1.257749311
110034,7,6,Delhi,0.919575922
110035,8,7,Delhi,1.138855997
110036,6,4,Delhi,0.790738086
110037,8,7,Delhi,1.073438448
110038,7,6,Delhi,0.969095157
110039,6,4,Delhi,0.58114013
110040,7,6,Delhi,0.950807722
110041,8,7,Delhi,1.169746334
110042,7,6,Delhi,0.907003341
110043,6,4,Delhi,0.625756308
110044,7,6,Delhi,0.91351236
110045,6,4,Delhi,0.818055738
110046,7,6,Delhi,0.87342788
110047,7,6,Delhi,0.949808667
110048,8,7,Delhi,1.009325797
110049,8,7,Delhi,1.064493729
110051,8,7,Delhi,1.000370574
110052,7,6,Delhi,0.843265125
110053,7,6,Delhi,0.965063907
110054,7,6,Delhi,0.914414186
110055,8,7,Delhi,1.089557743
110056,3,2,Delhi,0.32141983
110057,5,3,Delhi,0.53200675
110058,7,6,Delhi,0.891856861
110059,8,7,Delhi,0.990432868
110060,6,4,Delhi,0.670138118
110061,6,4,Delhi,0.565892715
110062,8,7,Delhi,1.001179496
110063,6,4,Delhi,0.62352907
110064,7,6,Delhi,0.840294209
110065,6,4,Delhi,0.737983794
110066,8,7,Delhi,1.070031487
110067,8,7,Delhi,1.090053533
110068,6,4,Delhi,0.608749023
110069,6,4,Delhi,0.706755865
110070,6,4,Delhi,0.715391674
110071,5,3,Delhi,0.531374155
110072,6,4,Delhi,0.602001664
110073,5,3,Delhi,0.508971139
110074,8,7,Delhi,1.177616986
110075,6,4,Delhi,0.640366224
110076,8,7,Delhi,1.010902902
110077,7,6,Delhi,0.902112173
110078,5,3,Delhi,0.444813886
110080,6,4,Delhi,0.737216336
110081,7,6,Delhi,0.941016737
110082,7,6,Delhi,0.971753116
110083,7,6,Delhi,0.944624989
110084,6,4,Delhi,0.663703974
110085,8,7,Delhi,1.056675066
110086,7,6,Delhi,0.84488429
110087,6,4,Delhi,0.603672375
110088,7,6,Delhi,0.909790555
110089,6,4,Delhi,0.557611877
110091,7,6,Delhi,0.88363997
110092,7,6,Delhi,0.888920702
110093,10,8,Delhi,1.250949643
110094,7,6,Delhi,0.88012207
110095,8,7,Delhi,1.061380105
110096,6,4,Delhi,0.816179277
121001,8,7,Faridabad,1.130666064
121002,8,7,Faridabad,1.137043575
121003,8,7,Faridabad,1.149167516
121004,8,7,Faridabad,1.013320931
121005,7,6,Faridabad,0.839228048
121006,7,6,Faridabad,0.961251425
121007,6,4,Faridabad,0.715102394
121008,7,6,Faridabad,0.848908347
121009,6,4,Faridabad,0.779496111
121010,10,8,Faridabad,1.256392421
121013,8,7,Faridabad,1.074517214
121101,8,7,Faridabad,1.12921002
121102,6,4,Faridabad,0.744531956
121103,8,7,Faridabad,1.085448522
121105,3,2,Faridabad,0.366499607
121106,8,7,Faridabad,1.051653423
121107,3,2,Faridabad,0.302434382
122001,6,4,Gurgaon,0.766808897
122002,6,4,Gurgaon,0.748481455
122003,6,4,Gurgaon,0.624267442
122004,6,4,Gurgaon,0.638456617
122005,10,8,Gurgaon,1.371685084
122006,7,6,Gurgaon,0.868683581
122007,8,7,Gurgaon,1.020045079
122009,5,3,Gurgaon,0.444346688
122010,7,6,Gurgaon,0.934353603
122011,5,3,Gurgaon,0.500042171
122015,3,2,Gurgaon,0.292799818
122016,3,2,Gurgaon,0.344342208
122017,6,4,Gurgaon,0.804632256
122018,5,3,Gurgaon,0.491123646
122050,6,4,Gurgaon,0.585770051
122051,5,3,Gurgaon,0.400858969
122052,2,1,Gurgaon,0.146467724
122101,3,2,Gurgaon,0.358801593
122102,5,3,Gurgaon,0.530985244
122103,3,2,Gurgaon,0.367936951
122104,5,3,Gurgaon,0.514376005
122105,2,1,Gurgaon,0.133580411
122106,5,3,Rewari,0.434265023
122107,7,6,Gurgaon,0.858309782
122108,6,4,Gurgaon,0.691891827
122413,2,1,Gurgaon,0.206995645
122414,3,2,Gurgaon,0.38986544
122502,3,2,Gurgaon,0.378428659
122503,10,8,Gurgaon,1.302158005
122504,5,3,Gurgaon,0.420589567
122505,3,2,Gurgaon,0.388068003
122506,5,3,Gurgaon,0.504942892
122508,6,4,Gurgaon,0.801764035
123001,5,3,Mahendragarh,0.412578545
123021,3,2,Rewari,0.290403033
123023,3,2,Mahendragarh,0.349681238
123024,3,2,Mahendragarh,0.287864529
123027,5,3,Mahendragarh,0.522029292
123028,5,3,Mahendragarh,0.473192088
123029,3,2,Mahendragarh,0.391389111
123034,6,4,Mahendragarh,0.595210706
123035,2,1,Rewari,0.18162591
123101,3,2,Rewari,0.295169988
123102,2,1,Rewari,0.060916355
123103,3,2,Rewari,0.25228046
123106,5,3,Rewari,0.459660819
123110,5,3,Rewari,0.498996039
123301,2,1,Rewari,0.060226964
123302,3,2,Rewari,0.341028111
123303,3,2,Mahendragarh,0.232263306
123401,5,3,Rewari,0.500234294
123411,5,3,Rewari,0.478300199
123412,2,1,Mahendragarh,0.01042656
123501,5,3,Rewari,0.46470731
123502,2,1,Gurgaon,0.083912766
124001,6,4,Rohtak,0.788479635
124002,10,8,Rohtak,1.2926004
124021,6,4,Rohtak,0.712185009
124022,2,1,Rohtak,0.024655275
124102,6,4,Jhajjar,0.565343552
124103,6,4,Jhajjar,0.629093174
124104,5,3,Jhajjar,0.541772225
124105,3,2,Jhajjar,0.267037477
124106,3,2,Jhajjar,0.273203169
124107,10,8,Jhajjar,1.362610273
124108,5,3,Jhajjar,0.537559657
124109,3,2,Jhajjar,0.377821155
124111,15,9,Rohtak,1.590837534
124112,3,2,Rohtak,0.274663595
124113,6,4,Rohtak,0.70318815
124116,20,10,Rohtak,2.477291832
124125,8,7,Rohtak,1.077308024
124142,10,8,Jhajjar,1.379843043
124146,6,4,Jhajjar,0.811268965
124201,7,6,Jhajjar,0.89696657
124202,8,7,Jhajjar,1.002380608
124303,2,1,Rohtak,0.011699087
124401,2,1,Rohtak,0.034583373
124406,6,4,Rohtak,0.683257004
124412,6,4,Rohtak,0.795075112
124501,6,4,Rohtak,0.667973731
124504,6,4,Jhajjar,0.622882281
124505,2,1,Jhajjar,0
124507,10,8,Jhajjar,1.386456794
124514,8,7,Rohtak,1.138732304
125001,8,7,Hisar,1.164918889
125004,6,4,Hisar,0.801300262
125005,10,8,Hisar,1.365011959
125006,2,1,Hisar,0.19236434
125021,7,6,Hisar,0.942235752
125033,6,4,Hisar,0.834822645
125038,3,2,Hisar,0.264926545
125039,5,3,Hisar,0.432330864
125042,2,1,Hisar,0.141697163
125044,2,1,Hisar,0.081820673
125047,8,7,Hisar,1.185868413
125048,10,8,Fatehabad,1.26609044
125049,2,1,Hisar,0.027043727
125050,15,9,Fatehabad,1.55549595
125051,8,7,Fatehabad,1.084079056
125052,10,8,Fatehabad,1.240055596
125053,20,10,Fatehabad,2.410339983
125055,8,7,Sirsa,0.989843093
125060,5,3,Sirsa,0.500258803
125075,8,7,Sirsa,1.132659097
125076,6,4,Sirsa,0.71302124
125077,3,2,Sirsa,0.2768659
125078,20,10,Sirsa,3.202491791
125101,3,2,Sirsa,0.392008031
125102,6,4,Sirsa,0.582327161
125103,7,6,Sirsa,0.868291959
125104,6,4,Sirsa,0.675204399
125106,3,2,Fatehabad,0.248729969
