Anchor,FileType,Tier,ScoreBand,AgentType,ModelDecision
yatra,thick,tier1,1,cash,Approve
yatra,thick,tier1,2,cash,Approve
yatra,thick,tier1,3,cash,Approve
yatra,thick,tier1,4,cash,Approve
yatra,thick,tier1,5,cash,Decline
yatra,thick,tier1,6,cash,Decline
yatra,thick,tier1,7,cash,Decline
yatra,thick,tier1,8,cash,Decline
yatra,thick,tier1,9,cash,Decline
yatra,thick,tier1,10,cash,Decline
yatra,thick,tier2,1,cash,Approve
yatra,thick,tier2,2,cash,Approve
yatra,thick,tier2,3,cash,Approve
yatra,thick,tier2,4,cash,Approve
yatra,thick,tier2,5,cash,Decline
yatra,thick,tier2,6,cash,Decline
yatra,thick,tier2,7,cash,Decline
yatra,thick,tier2,8,cash,Decline
yatra,thick,tier2,9,cash,Decline
yatra,thick,tier2,10,cash,Decline
yatra,thick,tier3,1,cash,Approve
yatra,thick,tier3,2,cash,Approve
yatra,thick,tier3,3,cash,Approve
yatra,thick,tier3,4,cash,Approve
yatra,thick,tier3,5,cash,Decline
yatra,thick,tier3,6,cash,Decline
yatra,thick,tier3,7,cash,Decline
yatra,thick,tier3,8,cash,Decline
yatra,thick,tier3,9,cash,Decline
yatra,thick,tier3,10,cash,Decline
yatra,thick,tier4,1,cash,Decline
yatra,thick,tier4,2,cash,Decline
yatra,thick,tier4,3,cash,Decline
yatra,thick,tier4,4,cash,Decline
yatra,thick,tier4,5,cash,Decline
yatra,thick,tier4,6,cash,Decline
yatra,thick,tier4,7,cash,Decline
yatra,thick,tier4,8,cash,Decline
yatra,thick,tier4,9,cash,Decline
yatra,thick,tier4,10,cash,Decline
yatra,thick,tier1,1,credit,Approve
yatra,thick,tier1,2,credit,Approve
yatra,thick,tier1,3,credit,Approve
yatra,thick,tier1,4,credit,Approve
yatra,thick,tier1,5,credit,Approve
yatra,thick,tier1,6,credit,Approve
yatra,thick,tier1,7,credit,Decline
yatra,thick,tier1,8,credit,Decline
yatra,thick,tier1,9,credit,Decline
yatra,thick,tier1,10,credit,Decline
yatra,thick,tier2,1,credit,Approve
yatra,thick,tier2,2,credit,Approve
yatra,thick,tier2,3,credit,Approve
yatra,thick,tier2,4,credit,Approve
yatra,thick,tier2,5,credit,Approve
yatra,thick,tier2,6,credit,Approve
yatra,thick,tier2,7,credit,Decline
yatra,thick,tier2,8,credit,Decline
yatra,thick,tier2,9,credit,Decline
yatra,thick,tier2,10,credit,Decline
yatra,thick,tier3,1,credit,Approve
yatra,thick,tier3,2,credit,Approve
yatra,thick,tier3,3,credit,Approve
yatra,thick,tier3,4,credit,Approve
yatra,thick,tier3,5,credit,Approve
yatra,thick,tier3,6,credit,Approve
