Industry,Risk_Band,Thick,Thin,No_Hit,Tier1,Tier2,Tier3,Tier4,0-3L,3-5L,5-10L,10-20L,20L+,0-6M,6-12M,12-18M,18-24M,24M+
Default,1,17,18,NA,0,1,3,3,2,1,0.5,0,-1,0,0,1,2,2
Default,2,19,20,NA,0,1,3,3,2,1,0.5,0,-1,0,0,1,2,2
Default,3,21,23,NA,0,1,3,3,2,1,0.5,0,-1,0,0,1,2,2
Default,4,24,26,NA,0,1,3,3,2,1,0.5,0,-1,0,0,1,2,2
Default,5,25,27,NA,0,1,3,3,2,1,0.5,0,-1,0,0,1,2,2
Default,6,26,29,NA,0,1,3,3,2,1,0.5,0,-1,0,0,1,2,2
Default,7,26,29,NA,0,1,3,3,2,1,0.5,0,-1,0,0,1,2,2
Default,8,NA,29,NA,0,1,3,3,2,1,0.5,0,-1,0,0,1,2,2
Default,9,NA,NA,NA,0,1,3,3,2,1,0.5,0,-1,0,0,1,2,2
Default,10,NA,NA,NA,0,1,3,3,2,1,0.5,0,-1,0,0,1,2,2
Default,NA,NA,NA,25,0,1,3,3,2,1,0.5,0,-1,0,0,1,2,2
Default,Min Interest Rate,,,,,,,,22,20,16,16,16,16,16,16,16,16
Food,1,21,22,NA,0,1,3,3,2,1,0,-0.5,-1,0,0,1,1.5,2
Food,2,23,24,NA,0,1,3,3,2,1,0,-0.5,-1,0,0,1,1.5,2
Food,3,25,27,NA,0,1,3,3,2,1,0,-0.5,-1,0,0,1,1.5,2
Food,4,28,30,NA,0,1,3,3,2,1,0,-0.5,-1,0,0,1,1.5,2
Food,5,29,31,NA,0,1,3,3,2,1,0,-0.5,-1,0,0,1,1.5,2
Food,6,30,33,NA,0,1,3,3,2,1,0,-0.5,-1,0,0,1,1.5,2
Food,7,30,33,NA,0,1,3,3,2,1,0,-0.5,-1,0,0,1,1.5,2
Food,8,NA,33,NA,0,1,3,3,2,1,0,-0.5,-1,0,0,1,1.5,2
Food,9,NA,NA,NA,0,1,3,3,2,1,0,-0.5,-1,0,0,1,1.5,2
Food,10,NA,NA,NA,0,1,3,3,2,1,0,-0.5,-1,0,0,1,1.5,2
