ScoreBand,BureauThickness,Tier,model_decision,loan_cap,pricing,MaxTenor
1,Thick,Tier1,Approve,1000000,18,36 Months
2,Thick,Tier1,Approve,1000000,20,36 Months
3,Thick,Tier1,Approve,700000,22,36 Months
4,Thick,Tier1,Manual Review,700000,25,24 Months
5,Thick,Tier1,Manual Review,500000,26,24 Months
6,Thick,Tier1,Manual Review,500000,27,24 Months
7,Thick,Tier1,Manual Review,300000,27,12 Months
8,Thick,Tier1,Decline,0,0,NA
9,Thick,Tier1,Decline,0,0,NA
10,Thick,Tier1,Decline,0,0,NA
1,Thin,Tier1,Approve,500000,19,36 Months
2,Thin,Tier1,Approve,500000,21,24 Months
3,Thin,Tier1,Manual Review,400000,24,24 Months
4,Thin,Tier1,Manual Review,400000,27,24 Months
5,Thin,Tier1,Manual Review,300000,28,12 Months
6,Thin,Tier1,Manual Review,200000,30,12 Months
7,Thin,Tier1,Manual Review,100000,30,12 Months
8,Thin,Tier1,Manual Review,100000,30,12 Months
9,Thin,Tier1,Decline,0,0,NA
10,Thin,Tier1,Decline,0,0,NA
1,No Hit,Tier1,Manual Review,0,0,NA
2,No Hit,Tier1,Manual Review,0,0,NA
3,No Hit,Tier1,Manual Review,0,0,NA
4,No Hit,Tier1,Manual Review,0,0,NA
5,No Hit,Tier1,Manual Review,0,0,NA
6,No Hit,Tier1,Manual Review,0,0,NA
7,No Hit,Tier1,Manual Review,0,0,NA
8,No Hit,Tier1,Manual Review,0,0,NA
9,No Hit,Tier1,Manual Review,0,0,NA
10,No Hit,Tier1,Manual Review,0,0,NA
1,Thick,Tier2,Approve,1000000,18,36 Months
2,Thick,Tier2,Approve,1000000,20,36 Months
3,Thick,Tier2,Approve,700000,22,36 Months
4,Thick,Tier2,Manual Review,700000,25,24 Months
5,Thick,Tier2,Manual Review,500000,26,24 Months
6,Thick,Tier2,Manual Review,500000,27,24 Months
7,Thick,Tier2,Manual Review,300000,27,12 Months
8,Thick,Tier2,Decline,0,0,NA
9,Thick,Tier2,Decline,0,0,NA
10,Thick,Tier2,Decline,0,0,NA
1,Thin,Tier2,Approve,500000,19,36 Months
2,Thin,Tier2,Approve,500000,21,24 Months
3,Thin,Tier2,Manual Review,400000,24,24 Months
4,Thin,Tier2,Manual Review,400000,27,24 Months
5,Thin,Tier2,Manual Review,300000,28,12 Months
6,Thin,Tier2,Manual Review,200000,30,12 Months
7,Thin,Tier2,Manual Review,100000,30,12 Months
8,Thin,Tier2,Manual Review,100000,30,12 Months
9,Thin,Tier2,Decline,0,0,NA
10,Thin,Tier2,Decline,0,0,NA
1,No Hit,Tier2,Manual Review,0,0,NA
2,No Hit,Tier2,Manual Review,0,0,NA
