pincode,city,state,Tier,ExtraPricing
110001,New Delhi,Delhi,Tier1,-1
110002,New Delhi,Delhi,Tier1,-1
110003,New Delhi,Delhi,Tier1,-1
110004,New Delhi,Delhi,Tier1,-1
110005,New Delhi,Delhi,Tier1,-1
110006,New Delhi,Delhi,Tier1,-1
110007,New Delhi,Delhi,Tier1,-1
110008,New Delhi,Delhi,Tier1,-1
110009,New Delhi,Delhi,Tier1,-1
110010,New Delhi,Delhi,Tier1,-1
110011,New Delhi,Delhi,Tier1,-1
110012,New Delhi,Delhi,Tier1,-1
110013,New Delhi,Delhi,Tier1,-1
110014,New Delhi,Delhi,Tier1,-1
110015,New Delhi,Delhi,Tier1,-1
110016,New Delhi,Delhi,Tier1,-1
110017,New Delhi,Delhi,Tier1,-1
110018,New Delhi,Delhi,Tier1,-1
110019,New Delhi,Delhi,Tier1,-1
110020,New Delhi,Delhi,Tier1,-1
110021,New Delhi,Delhi,Tier1,-1
110022,New Delhi,Delhi,Tier1,-1
110023,New Delhi,Delhi,Tier1,-1
110024,New Delhi,Delhi,Tier1,-1
110025,New Delhi,Delhi,Tier1,-1
110026,New Delhi,Delhi,Tier1,-1
110027,New Delhi,Delhi,Tier1,-1
110028,New Delhi,Delhi,Tier1,-1
110029,New Delhi,Delhi,Tier1,-1
110030,New Delhi,Delhi,Tier1,-1
110031,New Delhi,Delhi,Tier1,-1
110032,New Delhi,Delhi,Tier1,-1
110033,New Delhi,Delhi,Tier1,-1
110034,New Delhi,Delhi,Tier1,-1
110035,New Delhi,Delhi,Tier1,-1
110036,New Delhi,Delhi,Tier1,-1
110037,New Delhi,Delhi,Tier1,-1
110038,New Delhi,Delhi,Tier1,-1
110039,New Delhi,Delhi,Tier1,-1
110040,New Delhi,Delhi,Tier1,-1
110041,New Delhi,Delhi,Tier1,-1
110042,New Delhi,Delhi,Tier1,-1
110043,New Delhi,Delhi,Tier1,-1
110044,New Delhi,Delhi,Tier1,-1
110045,New Delhi,Delhi,Tier1,-1
110046,New Delhi,Delhi,Tier1,-1
110047,New Delhi,Delhi,Tier1,-1
110048,New Delhi,Delhi,Tier1,-1
110049,New Delhi,Delhi,Tier1,-1
110050,New Delhi,Delhi,Tier1,-1
110051,New Delhi,Delhi,Tier1,-1
110052,New Delhi,Delhi,Tier1,-1
110053,New Delhi,Delhi,Tier1,-1
110054,New Delhi,Delhi,Tier1,-1
110055,New Delhi,Delhi,Tier1,-1
110056,New Delhi,Delhi,Tier1,-1
110057,New Delhi,Delhi,Tier1,-1
110058,New Delhi,Delhi,Tier1,-1
110059,New Delhi,Delhi,Tier1,-1
110060,New Delhi,Delhi,Tier1,-1
110061,New Delhi,Delhi,Tier1,-1
110062,New Delhi,Delhi,Tier1,-1
110063,New Delhi,Delhi,Tier1,-1
110064,New Delhi,Delhi,Tier1,-1
110065,New Delhi,Delhi,Tier1,-1
