min,max,weight
4.356451055,4.703464415,1
4.703751229,4.793306701,1
4.793523072,4.869028933,1
4.869321418,4.926072215,0.9
4.926081868,4.974454123,0.8
4.975829729,5.024505017,0.7
5.024812355,5.08992771,0.6
5.090418294,5.157495194,0.55
5.157572459,5.20968464,0.528103044
5.209721927,5.261396453,0.528103044
5.261535852,5.330397536,0.333333333
5.331000216,5.400776606,0.330645161
5.401328893,5.468738937,0.32
5.469884337,5.522878745,0.3
5.52289134,5.5443004,0.292857143
5.54495334,5.619788758,0.242030697
5.620723743,5.703450591,0.242030697
5.704015439,5.795880017,0.2
5.795880018,5.958607315,0.15
5.959120926,6.397940009,0.1
