min,max,weight
0,0,1
1.016438356,1.928767123,1
1.942465753,2.597260274,1
2.605479452,3.057534247,1
3.060273973,3.21369863,0.9
3.232876712,4.073972603,0.84
4.076712329,4.876712329,0.762
4.879452055,5.454794521,0.65
5.457534247,5.961643836,0.576
5.964383562,6.591780822,0.508
6.6,7.460273973,0.5
7.465753425,8.391780822,0.48
8.397260274,8.909589041,0.45
8.917808219,9.430136986,0.42
9.432876712,9.947945205,0.4
9.950684932,10.36164384,0.35
10.36712329,10.95342466,0.375
10.96164384,11.64931507,0.35
11.66849315,12.52054795,0.315
12.52328767,13.95068493,0.2
13.95342466,20,0.109
