min,max,weight
0,0,1.000
0.002739726,0.882191781,0.800
0.887671233,1.460273973,0.572
1.468493151,2.002739726,0.572
2.008219178,2.471232877,0.567
2.484931507,2.991780822,0.508
3.002739726,3.602739726,0.508
3.608219178,4.008219178,0.445
4.010958904,4.635616438,0.445
4.638356164,5.142465753,0.445
5.145205479,5.942465753,0.445
5.953424658,6.663013699,0.381
6.665753425,7.402739726,0.251
7.419178082,8.268493151,0.191
8.279452055,9.432876712,0.191
9.435616438,10.26849315,0.191
10.30684932,11.55890411,0.191
11.57260274,13.50684932,0.191
13.57534247,16.38356164,0.150
16.39726027,20,0.100
