min,max,weight
0,0,0
0.061574907,0.123091491,0.077
0.123325283,0.206284249,0.15
0.207390339,0.310705189,0.2
0.31184126,0.445849558,0.25
0.446622482,0.597614305,0.3
0.599067519,0.782782015,0.35
0.783807208,0.9966106,0.4
0.997649235,1.312607019,0.45
1.315986976,1.763244893,0.5
1.767424505,2.256652806,0.6
2.257732505,2.905981946,0.7
2.908843337,3.743914113,0.75
3.77739769,5.260560198,0.8
5.286521678,6.738744389,0.82
6.801662775,9.135297523,0.84
9.170107082,11.23305223,0.86
11.24294878,13.70312924,0.9
13.74236338,19.51502288,0.95
20.15150181,30,1
