min,max,weight
0,0,0.000
0.104759434,0.992155937,0.186
0.994198768,1.568393253,0.250
1.570517641,2.017806647,0.310
2.019407571,2.418012172,0.310
2.430004398,2.858451003,0.350
2.861163036,3.253402634,0.400
3.253967826,3.675397004,0.450
3.681689263,4.02909676,0.496
4.033640256,4.492966386,0.496
4.495814244,4.995270821,0.496
4.998883443,5.557037961,0.496
5.56045677,6.137781864,0.496
6.139618335,6.876259989,0.625
6.883618234,7.669238736,0.625
7.690457242,8.472754587,0.682
8.476626239,9.493800594,0.750
9.521613011,10.8863412,0.687
10.8883095,12.60557383,0.930
12.60979697,16.05645405,0.950
16.14874598,20,1.000
