min,max,weight
0,0,0.122
3.07E-05,0.048915968,0.250
0.049283154,0.102490728,0.300
0.102907821,0.156315489,0.310
0.156770022,0.209226259,0.330
0.210089949,0.261298836,0.350
0.261320604,0.309992417,0.370
0.310965527,0.354654753,0.390
0.354712588,0.401674009,0.400
0.40188712,0.443688647,0.410
0.443965819,0.474007431,0.420
0.474595257,0.512243672,0.434
0.512326996,0.548422106,0.496
0.548671331,0.588386415,0.496
0.588645843,0.630731241,0.625
0.630813507,0.671771785,0.625
0.67177515,0.715033127,0.620
0.715091664,0.76334832,0.620
0.763523821,0.821707922,0.800
0.821724739,0.894135908,0.900
0.894268334,1.023241772,1.000
