min,max,weight
0,0,1
0.061574907,0.123091491,0.9
0.123325283,0.206284249,0.85
0.207390339,0.310705189,0.8
0.31184126,0.445849558,0.7
0.446622482,0.597614305,0.65
0.599067519,0.782782015,0.6
0.783807208,0.9966106,0.55
0.997649235,1.312607019,0.5
1.315986976,1.763244893,0.48
1.767424505,2.256652806,0.46
2.257732505,2.905981946,0.44
2.908843337,3.743914113,0.42
3.77739769,5.260560198,0.4
5.286521678,6.738744389,0.38
6.801662775,9.135297523,0.36
9.170107082,11.23305223,0.34
11.24294878,13.70312924,0.32
13.74236338,19.51502288,0.3
20.15150181,30,0.28
30.06157491,30.12309149,0.26
30.12332528,30.20628425,0.24
30.20739034,30.31070519,0.22
30.31184126,30.44584956,0.2
30.44662248,30.59761431,0.18
30.59906752,30.78278202,0.16
30.78380721,30.9966106,0.14
30.99764924,31.31260702,0.12
31.31598698,31.76324489,0.1
31.76742451,32.25665281,0.08
32.25773251,32.90598195,0.06
32.90884334,33.74391411,0.04
33.77739769,35.2605602,0.02
35.28652168,36.73874439,0.01
36.80166278,39.13529752,0
39.17010708,41.23305223,0
41.24294878,43.70312924,0
43.74236338,49.51502288,0
50.15150181,60,0
