min,max,weight
1,1,0.1
1.355816422,3.771832292,0.2
3.772267955,4.008349965,0.357142857
4.008367163,4.159154814,0.4
4.159902864,4.270554069,0.45
4.271202178,4.366439802,0.55
4.366528175,4.462618819,0.6
4.462650997,4.531841556,0.65
4.532665807,4.602448512,0.661246612
4.603605555,4.674378302,0.661246612
4.675732223,4.765985884,0.661246612
4.767035445,4.865536466,0.727272727
4.869213916,4.973382937,0.727272727
4.973995629,5.070255079,0.727272727
5.070353073,5.185200925,0.75
5.185413773,5.318592377,0.8
5.32174644,5.480147349,0.819892473
5.48131066,5.710145546,0.8
5.718165391,6.035164948,0.9
6.044311005,7,1
