Industry,FileType,ScoreBand,HighestAmountBorrowedFactor,IsBorrowerAddressOwned,MultiplyingFactor,Tenure,LoanCap,MinimumAnchorVintage,PricingReduction,SplitPaymentPercent
mmt,thick,1,1000,0,1.5,12,500000,NA,2,NA
mmt,thick,2,1000,0,1.5,12,500000,NA,2,NA
mmt,thick,3,1000,0,1,12,500000,NA,2,NA
mmt,thick,4,1000,0,1,12,500000,NA,2,NA
mmt,thick,5,1000,0,0.8,12,500000,NA,2,NA
mmt,thick,6,1000,0,0.8,12,500000,NA,2,NA
mmt,thick,7,1000,0,0.8,12,500000,NA,2,NA
mmt,thick,8,1000,0,NA,NA,500000,NA,2,NA
mmt,thick,9,1000,0,NA,NA,500000,NA,2,NA
mmt,thick,10,1000,0,NA,NA,500000,NA,2,NA
mmt,thin,1,1000,0,1.5,12,500000,NA,2,NA
mmt,thin,2,1000,0,1.5,12,500000,NA,2,NA
mmt,thin,3,1000,0,1,12,500000,NA,2,NA
mmt,thin,4,1000,0,1,12,500000,NA,2,NA
mmt,thin,5,1000,0,0.8,12,500000,NA,2,NA
mmt,thin,6,1000,0,0.8,12,500000,NA,2,NA
mmt,thin,7,1000,0,0.8,12,500000,NA,2,NA
mmt,thin,8,1000,0,0.8,12,500000,NA,2,NA
mmt,thin,9,1000,0,NA,NA,500000,NA,2,NA
mmt,thin,10,1000,0,NA,NA,500000,NA,2,NA
mmt,thick,1,1000,1,1.5,24,500000,NA,2,NA
mmt,thick,2,1000,1,1.5,24,500000,NA,2,NA
mmt,thick,3,1000,1,1,24,500000,NA,2,NA
mmt,thick,4,1000,1,1,24,500000,NA,2,NA
mmt,thick,5,1000,1,0.8,24,500000,NA,2,NA
mmt,thick,6,1000,1,0.8,24,500000,NA,2,NA
mmt,thick,7,1000,1,0.8,24,500000,NA,2,NA
mmt,thick,8,1000,1,NA,NA,500000,NA,2,NA
mmt,thick,9,1000,1,NA,NA,500000,NA,2,NA
mmt,thick,10,1000,1,NA,NA,500000,NA,2,NA
mmt,thin,1,1000,1,1.5,24,500000,NA,2,NA
mmt,thin,2,1000,1,1.5,24,500000,NA,2,NA
mmt,thin,3,1000,1,1,24,500000,NA,2,NA
mmt,thin,4,1000,1,1,24,500000,NA,2,NA
mmt,thin,5,1000,1,0.8,24,500000,NA,2,NA
mmt,thin,6,1000,1,0.8,24,500000,NA,2,NA
mmt,thin,7,1000,1,0.8,24,500000,NA,2,NA
mmt,thin,8,1000,1,0.8,24,500000,NA,2,NA
mmt,thin,9,1000,1,NA,NA,500000,NA,2,NA
mmt,thin,10,1000,1,NA,NA,500000,NA,2,NA
yatra,thick,1,5,0,1,12,500000,NA,1,NA
yatra,thick,2,5,0,1,12,500000,NA,1,NA
yatra,thick,3,3,0,0.8,12,500000,NA,1,NA
yatra,thick,4,2,0,0.7,12,500000,NA,1,NA
yatra,thick,5,2,0,0.6,12,500000,NA,1,NA
yatra,thick,6,2,0,0.6,12,500000,NA,1,NA
yatra,thick,7,2,0,0.6,12,500000,NA,1,NA
yatra,thick,8,2,0,0.6,12,500000,NA,1,NA
yatra,thick,9,NA,0,NA,NA,500000,NA,1,NA
yatra,thick,10,NA,0,NA,NA,500000,NA,1,NA
yatra,thin,1,5,0,1,12,500000,NA,1,NA
yatra,thin,2,5,0,1,12,500000,NA,1,NA
yatra,thin,3,3,0,0.8,12,500000,NA,1,NA
yatra,thin,4,2,0,0.7,12,500000,NA,1,NA
yatra,thin,5,2,0,0.6,12,500000,NA,1,NA
yatra,thin,6,2,0,0.6,12,500000,NA,1,NA
yatra,thin,7,2,0,0.6,12,500000,NA,1,NA
