Industry,FileType,ScoreBand,AnchorTSFactor,BankBalanceEODFactor,HighestAmountBorrowedFactor,PBTFactor,LoanCap,EligibleForOD,MaxTenor
Travel,Thick,1,2.5,1.25,7,NA,5000000,Yes,24
Travel,Thick,2,2,1,6,NA,4000000,Yes,24
Travel,Thick,3,1.5,0.9,5,NA,3000000,Yes,18
Travel,Thick,4,1.5,0.8,4,NA,2000000,Yes,18
Travel,Thick,5,0.8,0.8,3,NA,1500000,No,12
Travel,Thick,6,0.7,0.7,2,NA,700000,No,12
Travel,Thick,7,0.6,0.7,2,NA,500000,No,12
Travel,Thick,8,NA,NA,NA,NA,NA,NA,12
Travel,Thick,9,NA,NA,NA,NA,NA,NA,12
Travel,Thick,10,NA,NA,NA,NA,NA,NA,12
Travel,Thin,1,2.25,1.25,5,NA,1500000,Yes,24
Travel,Thin,2,1.5,1,5,NA,1200000,Yes,18
Travel,Thin,3,1.5,0.9,4,NA,1000000,Yes,18
Travel,Thin,4,1,0.8,3,NA,700000,Yes,12
Travel,Thin,5,0.8,0.8,3,NA,500000,No,12
Travel,Thin,6,0.7,0.7,2,NA,300000,No,12
Travel,Thin,7,0.5,0.7,1,NA,200000,No,12
Travel,Thin,8,0.5,0.7,1,NA,200000,No,12
Travel,Thin,9,NA,NA,NA,NA,NA,NA,12
Travel,Thin,10,NA,NA,NA,NA,NA,NA,12
Travel,No Hit,1,NA,NA,NA,NA,NA,NA,NA
Travel,No Hit,2,NA,NA,NA,NA,NA,NA,NA
Travel,No Hit,3,NA,NA,NA,NA,NA,NA,NA
Travel,No Hit,4,NA,NA,NA,NA,NA,NA,NA
Travel,No Hit,5,NA,NA,NA,NA,NA,NA,NA
Travel,No Hit,6,NA,NA,NA,NA,NA,NA,NA
Travel,No Hit,7,NA,NA,NA,NA,NA,NA,NA
Travel,No Hit,8,NA,NA,NA,NA,NA,NA,NA
Travel,No Hit,9,NA,NA,NA,NA,NA,NA,NA
Travel,No Hit,10,NA,NA,NA,NA,NA,NA,NA
MMT,Thick,1,36,1.25,7,NA,5000000,NA,24
MMT,Thick,2,24,1,6,NA,4000000,NA,24
MMT,Thick,3,18,0.9,5,NA,3000000,NA,24
MMT,Thick,4,18,0.8,4,NA,2000000,NA,24
MMT,Thick,5,10,0.8,3,NA,1500000,NA,18
MMT,Thick,6,9,0.7,2,NA,700000,NA,12
MMT,Thick,7,6,0.7,2,NA,500000,NA,12
MMT,Thick,8,NA,NA,NA,NA,NA,NA,12
MMT,Thick,9,NA,NA,NA,NA,NA,NA,NA
MMT,Thick,10,NA,NA,NA,NA,NA,NA,NA
MMT,Thin,1,24,1.25,5,NA,1500000,NA,24
MMT,Thin,2,18,1,5,NA,1200000,NA,24
MMT,Thin,3,18,0.9,4,NA,1000000,NA,24
MMT,Thin,4,12,0.8,3,NA,700000,NA,18
MMT,Thin,5,9,0.8,3,NA,500000,NA,12
MMT,Thin,6,7.2,0.7,2,NA,300000,NA,12
MMT,Thin,7,6,0.7,1,NA,200000,NA,12
MMT,Thin,8,6,0.7,1,NA,200000,NA,12
MMT,Thin,9,NA,NA,NA,NA,NA,NA,NA
MMT,Thin,10,NA,NA,NA,NA,NA,NA,NA
MMT,No Hit,1,NA,NA,NA,NA,NA,NA,NA
MMT,No Hit,2,NA,NA,NA,NA,NA,NA,NA
MMT,No Hit,3,NA,NA,NA,NA,NA,NA,NA
MMT,No Hit,4,NA,NA,NA,NA,NA,NA,NA
MMT,No Hit,5,NA,NA,NA,NA,NA,NA,NA
MMT,No Hit,6,NA,NA,NA,NA,NA,NA,NA
MMT,No Hit,7,NA,NA,NA,NA,NA,NA,NA
MMT,No Hit,8,NA,NA,NA,NA,NA,NA,NA
MMT,No Hit,9,NA,NA,NA,NA,NA,NA,NA
MMT,No Hit,10,NA,NA,NA,NA,NA,NA,NA
Restaurant,Thick,1,2.727,1.25,7,NA,5000000,NA,24
Restaurant,Thick,2,2.727,1,6,NA,4000000,NA,24
Restaurant,Thick,3,2.273,0.9,5,NA,3000000,NA,18
Restaurant,Thick,4,2.273,0.8,4,NA,2000000,NA,18
Restaurant,Thick,5,1.579,0.8,3,NA,1500000,NA,12
Restaurant,Thick,6,1.579,0.7,2,NA,700000,NA,9
Restaurant,Thick,7,1.579,0.7,2,NA,500000,NA,9
Restaurant,Thick,8,NA,NA,NA,NA,NA,NA,NA
Restaurant,Thick,9,NA,NA,NA,NA,NA,NA,NA
Restaurant,Thick,10,NA,NA,NA,NA,NA,NA,NA
Restaurant,Thin,1,2.727,1.25,5,NA,1500000,NA,24
Restaurant,Thin,2,2.273,1,5,NA,1200000,NA,18
Restaurant,Thin,3,2.273,0.9,4,NA,1000000,NA,18
Restaurant,Thin,4,1.579,0.8,3,NA,700000,NA,12
Restaurant,Thin,5,1.579,0.8,3,NA,500000,NA,12
Restaurant,Thin,6,1.579,0.7,2,NA,300000,NA,9
Restaurant,Thin,7,1.579,0.7,1,NA,200000,NA,9
Restaurant,Thin,8,1.579,0.7,1,NA,200000,NA,9
Restaurant,Thin,9,NA,NA,NA,NA,NA,NA,NA
Restaurant,Thin,10,NA,NA,NA,NA,NA,NA,NA
Restaurant,No Hit,1,NA,NA,NA,NA,NA,NA,NA
Restaurant,No Hit,2,NA,NA,NA,NA,NA,NA,NA
Restaurant,No Hit,3,NA,NA,NA,NA,NA,NA,NA
Restaurant,No Hit,4,NA,NA,NA,NA,NA,NA,NA
Restaurant,No Hit,5,NA,NA,NA,NA,NA,NA,NA
Restaurant,No Hit,6,NA,NA,NA,NA,NA,NA,NA
Restaurant,No Hit,7,NA,NA,NA,NA,NA,NA,NA
Restaurant,No Hit,8,NA,NA,NA,NA,NA,NA,NA
Restaurant,No Hit,9,NA,NA,NA,NA,NA,NA,NA
Restaurant,No Hit,10,NA,NA,NA,NA,NA,NA,NA
MCA,Thick,1,27,1.25,7,NA,5000000,NA,24
MCA,Thick,2,24,1,6,NA,4000000,NA,24
MCA,Thick,3,18,0.9,5,NA,3000000,NA,18
MCA,Thick,4,18,0.8,4,NA,2000000,NA,18
MCA,Thick,5,15,0.8,3,NA,1500000,NA,12
MCA,Thick,6,12,0.7,2,NA,700000,NA,9
MCA,Thick,7,12,0.7,2,NA,500000,NA,9
MCA,Thick,8,NA,NA,NA,NA,NA,NA,NA
MCA,Thick,9,NA,NA,NA,NA,NA,NA,NA
MCA,Thick,10,NA,NA,NA,NA,NA,NA,NA
MCA,Thin,1,24,1.25,5,NA,1500000,NA,24
MCA,Thin,2,18,1,5,NA,1200000,NA,18
MCA,Thin,3,18,0.9,4,NA,1000000,NA,18
MCA,Thin,4,15,0.8,3,NA,700000,NA,12
MCA,Thin,5,12,0.8,3,NA,500000,NA,12
