BusinessNature,Industry,SubIndustry,Margin
manufacturer,agri & food,"all food, poultry, agri, dairy and marine products",0.1
manufacturer,agri & food,"restaurant, bakery etc",0.15
manufacturer,agri & food,,0.125
manufacturer,automobiles,"2 and 3 wheelers, lcvs/ hcvs (commercial vehicles), passenger cars

",0.05
manufacturer,automobiles,"auto ancillaries, tyres",0.15
manufacturer,automobiles,tractors,0.1
manufacturer,automobiles,,0.1
manufacturer,"books, office supplies & stationery","books, office supplies & stationery",0.15
manufacturer,"books, office supplies & stationery",,0.15
manufacturer,cement & construction,"cement products & asbestos products, construction materials
",0.05
manufacturer,cement & construction,,0.05
manufacturer,construction,"ceramic tiles & sanitaryware, paints",0.15
manufacturer,construction,,0.15
manufacturer,containers & packaging,packaging,0.1
manufacturer,containers & packaging,,0.1
manufacturer,cycles,,0.1
manufacturer,durables,electrical goods ( incl  invertor ) ,0.1
manufacturer,durables,"hardware, plumbing & heating equipment",0.15
manufacturer,durables,,0.125
manufacturer,fertilizers & pesticides (all categories),,0.1
manufacturer,fmcg & household products,"fmcg, kirana,",0.15
manufacturer,fmcg & household products,personal care,0.15
manufacturer,fmcg & household products,,0.15
manufacturer,glass products,glass & glass products,0.15
manufacturer,glass products,,0.15
manufacturer,handicrafts & artificial items,handicrafts. imitation jewellery,0.15
manufacturer,handicrafts & artificial items,,0.15
manufacturer,hardware equipment,"networking, office equipment
",0.1
manufacturer,hardware equipment,"sanitary , lighting , decorative items",0.15
manufacturer,hardware equipment,,0.125
manufacturer,healthcare,"drugs & pharmaceuticals,drug proprietaries & druggists",0.15
manufacturer,healthcare,medical equipment,0.15
manufacturer,healthcare,,0.15
manufacturer,"hobby, toy, game, camera & photographic supply stores ","hobby, toy, game, camera & photographic supply stores ",0.15
manufacturer,"hobby, toy, game, camera & photographic supply stores ",,0.15
manufacturer,home furniture & furnishing,home furniture & furnishing,0.15
manufacturer,home furniture & furnishing,,0.15
manufacturer,industrial equipment,industrial machinery- chemical and textiles,0.05
manufacturer,industrial equipment,"printing, textile, welding machinery",0.15
manufacturer,industrial equipment,,0.1
manufacturer,industrial equipment,,0.1
manufacturer,it,computers(hardware) & electronics,0.1
manufacturer,it,,0.1
manufacturer,jewellery,gems & jewellery,0.1
manufacturer,jewellery,,0.1
manufacturer,leather,"leather footwear, luggage & leather goods, other leather products

",0.15
manufacturer,leather,,0.15
manufacturer,metal & mining,"aluminum & aluminum products(manufacturer), coal and lignite, copper & copper products, ferro alloys, granite & other non-metal minerals, castings & forgings, steel, wires and cables




",0.05
manufacturer,metal & mining,,0.05
manufacturer,opticians,opticians,0.15
manufacturer,opticians,,0.15
manufacturer,"petroleum, plastics & chemicals","petrol, diesel sale, dyes and pigments, plastic resins, other chemicals

",0.05
manufacturer,"petroleum, plastics & chemicals",,0.05
manufacturer,photographic & allied products,,0.1
manufacturer,rubber,rubber & rubber products,0.1
manufacturer,rubber,,0.1
manufacturer,sports goods,sports goods,0.15
manufacturer,sports goods,,0.15
manufacturer,textiles,readymade garments,0.15
manufacturer,textiles,,0.15
manufacturer,transportation & logistics,land transportation equipment,0.05
manufacturer,transportation & logistics,,0.05
manufacturer,wood and wood products,wood and wood products,0.15
manufacturer,wood and wood products,,0.15
retail,agri & food,"all food, poultry, agri, dairy and marine products",0.1
retail,agri & food,"restaurant, bakery etc",0.15
retail,agri & food,,0.125
retail,automobiles,"2 and 3 wheelers, lcvs/ hcvs (commercial vehicles), passenger cars

",0.05
retail,automobiles,"auto ancillaries, tyres",0.15
retail,automobiles,tractors,0.1
retail,automobiles,,0.1
retail,"books, office supplies & stationery","books, office supplies & stationery",0.15
retail,"books, office supplies & stationery",,0.15
retail,cement & construction,"cement products & asbestos products, construction materials
",0.05
retail,cement & construction,,0.05
retail,construction,"ceramic tiles & sanitaryware, paints",0.15
retail,construction,,0.15
retail,containers & packaging,packaging,0.1
retail,containers & packaging,,0.1
retail,cycles,,0.1
retail,durables,electrical goods ( incl  invertor ) ,0.1
retail,durables,"hardware, plumbing & heating equipment",0.15
retail,durables,,0.125
retail,fertilizers & pesticides (all categories),,0.1
retail,fmcg & household products,"fmcg, kirana,",0.15
retail,fmcg & household products,personal care,0.15
retail,fmcg & household products,,0.15
retail,glass products,glass & glass products,0.15
